person_id,key,first_seen_t_sync,last_seen_t_sync,first_camera,last_camera,cameras,tracks_count,frames_count
,track::CAMERA_DEVANTURE_PORTE_ENTREE::person:79,764.192,781.558,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,1,65
,track::CAMERA_DEVANTURE_PORTE_ENTREE::person:881,1288.337,1288.648,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,1,10
,track::CAMERA_DEVANTURE_PORTE_ENTREE::person:882,1288.614,1288.648,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,1,2
,track::CAMERA_DEVANTURE_SOUS_ARBRE::person:165,1399.883,1409.449,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEVANTURE_SOUS_ARBRE,1,67
,track::CAMERA_DEVANTURE_SOUS_ARBRE::person:173,1418.846,1420.859,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEVANTURE_SOUS_ARBRE,1,61
,track::CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE::person:81,1110.974,1123.141,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,1,61
,track::CAMERA_FIN_COULOIR_DROIT::person:337,1374.227,1376.387,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,1,65
,track::CAMERA_FIN_COULOIR_DROIT::person:353,1398.531,1400.590,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,1,62
,track::CAMERA_FIN_COULOIR_DROIT::person:373,1449.130,1449.670,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,1,17
,track::CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1::person:36,735.806,736.139,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,1,11
,track::CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1::person:37,735.939,736.139,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,1,7
,track::CAMERA_HALL_PORTE_DROITE::person:95,221.389,223.424,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_DROITE,1,62
,track::CAMERA_HALL_PORTE_ENTREE::person:161,1010.703,1012.710,CAMERA_HALL_PORTE_ENTREE,CAMERA_HALL_PORTE_ENTREE,CAMERA_HALL_PORTE_ENTREE,1,61
,track::CAMERA_HALL_PORTE_ENTREE::person:68,793.991,796.031,CAMERA_HALL_PORTE_ENTREE,CAMERA_HALL_PORTE_ENTREE,CAMERA_HALL_PORTE_ENTREE,1,62
,track::CAMERA_HALL_PORTE_GAUCHE::person:117,863.219,865.630,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,1,73
,track::CAMERA_HALL_PORTE_GAUCHE::person:243,1034.082,1036.226,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,1,65
,track::CAMERA_HALL_PORTE_GAUCHE::person:30,665.860,667.936,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,1,63
